XCoord,YCoord,START_NODE,END_NODE,EDGE,LENGTH
126533.59458324,3239182.36224356,1,2,1,137.02722288605
126533.59458324,3239182.36224356,1,8,25406,21.1305932723004
126461.27373744,3239065.97746076,2,1,1,137.02722288605
126470.59141648,3239059.56342800,3,4,2,144.849700921419
126546.70034629,3239182.79874878,4,3,2,144.849700921419
126546.70034629,3239182.79874878,4,5,25405,20.4278252097749
126558.24038361,3239199.65471454,5,6,3,86.3215291950383
126558.24038361,3239199.65471454,5,4,25405,20.4278252097749
126607.24682498,3239270.71648420,6,5,3,86.3215291950383
126607.24682498,3239270.71648420,6,31,25407,19.6978140155603
126593.98120207,3239271.63991974,7,8,4,86.6587444046415
126593.98120207,3239271.63991974,7,36,25408,20.1329168197525
126545.02823872,3239200.13226028,8,7,4,86.6587444046415
126545.02823872,3239200.13226028,8,1,25406,21.1305932723004
126418.09562914,3239095.70028154,9,10,5,842.494701770973
127075.18526073,3239579.82906802,10,9,5,842.494701770973
127075.18526073,3239579.82906802,10,12,6,2381.97774244632
127075.18526073,3239579.82906802,10,14,7,39.27094614288
127075.18526073,3239579.82906802,10,39,20,4226.3790651786
128373.28977154,3237701.55073189,12,10,6,2381.97774244632
127095.31676805,3239613.48154831,14,10,7,39.27094614288
127095.31676805,3239613.48154831,14,15,8,2421.31286481231
127095.31676805,3239613.48154831,14,34,17,4169.82090423679
128400.56710706,3237702.41204860,15,14,8,2421.31286481231
117926.77535102,3241112.79147572,17,18,9,3025.99134610531
117926.77535102,3241112.79147572,17,19,10,307.827454747975
116993.35419757,3239453.29772695,18,17,9,3025.99134610531
118060.57873425,3241365.09979078,19,17,10,307.827454747975
118060.57873425,3241365.09979078,19,21,11,207.691189163061
118060.57873425,3241365.09979078,19,24,13,46.9249879646258
118197.01422198,3241252.33078731,21,19,11,207.691189163061
117929.78467639,3241178.65870772,23,24,12,283.463682841599
118050.26994871,3241409.97974588,24,23,12,283.463682841599
118050.26994871,3241409.97974588,24,19,13,46.9249879646258
118050.26994871,3241409.97974588,24,27,14,350.638734533614
118051.34934212,3241751.55653181,27,24,14,350.638734533614
137835.16866766,3242478.59785058,29,30,15,2478.43910399258
135640.69252080,3241861.91727690,30,29,15,2478.43910399258
126618.43442256,3239286.92887259,31,32,16,4421.55031645177
126618.43442256,3239286.92887259,31,6,25407,19.6978140155603
125829.87160023,3243204.36632155,32,31,16,4421.55031645177
125829.87160023,3243204.36632155,32,38,19,303.716664083067
125829.87160023,3243204.36632155,32,60,30,376.430979118242
126135.49682006,3243462.08461964,34,14,17,4169.82090423679
126135.49682006,3243462.08461964,34,39,21,28.3864882696289
126135.49682006,3243462.08461964,34,50,26,36.3553860823963
125699.67795243,3243482.94820455,35,36,18,4718.73264081587
125699.67795243,3243482.94820455,35,86,25410,59.6251241139208
125699.67795243,3243482.94820455,35,78,25411,61.8906648929262
126605.34768481,3239288.25730250,36,35,18,4718.73264081587
126605.34768481,3239288.25730250,36,7,25408,20.1329168197525
125713.20621921,3243483.34697131,38,32,19,303.716664083067
125713.20621921,3243483.34697131,38,79,25409,59.2564565501693
126119.07850447,3243484.84481502,39,10,20,4226.3790651786
126119.07850447,3243484.84481502,39,34,21,28.3864882696289
126119.07850447,3243484.84481502,39,43,22,21.5037592242869
126119.07850447,3243484.84481502,39,46,24,11.3656846624675
126099.46579959,3243493.66260772,43,39,22,21.5037592242869
126099.46579959,3243493.66260772,43,46,23,19.6361141168119
126099.46579959,3243493.66260772,43,57,29,158.478430972871
126118.93602749,3243496.20960662,46,43,23,19.6361141168119
126118.93602749,3243496.20960662,46,39,24,11.3656846624675
126118.93602749,3243496.20960662,46,50,25,17.180167208159
126118.93602749,3243496.20960662,46,53,27,4.72850222842213
126135.97120469,3243498.43691058,50,46,25,17.180167208159
126135.97120469,3243498.43691058,50,34,26,36.3553860823963
126135.97120469,3243498.43691058,50,53,28,17.1120452090025
126135.97120469,3243498.43691058,50,73,38,27.9465422581261
126119.04273346,3243500.93670118,53,46,27,4.72850222842213
126119.04273346,3243500.93670118,53,50,28,17.1120452090025
126119.04273346,3243500.93670118,53,64,32,18.8171121710321
126119.04273346,3243500.93670118,53,69,36,11.4316704877041
125941.16041747,3243501.06659818,57,43,29,158.478430972871
125941.16041747,3243501.06659818,57,60,31,65.349219619425
125875.84651713,3243503.21483634,60,32,30,376.430979118242
125875.84651713,3243503.21483634,60,57,31,65.349219619425
125875.84651713,3243503.21483634,60,83,42,736.013004730138
126100.42841068,3243503.69182331,64,53,32,18.8171121710321
126100.42841068,3243503.69182331,64,66,33,159.095636427441
126100.42841068,3243503.69182331,64,69,35,20.8669161981854
125941.41870939,3243508.92024805,66,64,33,159.095636427441
125941.41870939,3243508.92024805,66,68,34,67.881513179202
125873.54407761,3243509.88678417,68,66,34,67.881513179202
125873.54407761,3243509.88678417,68,78,39,608.705710264614
125873.54407761,3243509.88678417,68,80,41,352.749258221872
126119.40859206,3243512.36251570,69,64,35,20.8669161981854
126119.40859206,3243512.36251570,69,53,36,11.4316704877041
126119.40859206,3243512.36251570,69,73,37,22.5244489285432
126119.40859206,3243512.36251570,69,95,48,458.502302762
126136.86988937,3243526.36899947,73,69,37,22.5244489285432
126136.86988937,3243526.36899947,73,50,38,27.9465422581261
126136.86988937,3243526.36899947,73,94,47,441.220736453965
125679.38206690,3243541.41641327,78,68,39,608.705710264614
125679.38206690,3243541.41641327,78,35,25411,61.8906648929262
125698.63091683,3243540.78292001,79,80,40,216.909747314115
125698.63091683,3243540.78292001,79,38,25409,59.2564565501693
125667.74209819,3243755.17753847,80,79,40,216.909747314115
125667.74209819,3243755.17753847,80,68,41,352.749258221872
125667.74209819,3243755.17753847,80,89,46,190.77981934064
125651.39739396,3243897.26803054,83,60,42,736.013004730138
125651.39739396,3243897.26803054,83,86,43,358.530142049527
125651.39739396,3243897.26803054,83,87,44,42.4179609250088
125686.05763830,3243540.99682614,86,83,43,358.530142049527
125686.05763830,3243540.99682614,86,35,25410,59.6251241139208
